Height,Weight
140.0,39.9
140.5,40.7
141.0,39.6
141.5,41.8
142.0,40.7
142.5,39.9
143.0,33.7
143.5,46.8
144.0,43.7
144.5,42.0
145.1,43.5
145.6,41.8
146.1,44.0
146.6,45.0
147.1,44.1
147.6,42.7
148.1,43.5
148.6,47.8
149.1,44.0
149.6,43.9
150.1,45.1
150.6,42.2
151.1,46.2
151.6,46.6
152.1,48.4
152.6,47.7
153.1,41.6
153.6,48.0
154.1,42.2
154.6,53.7
155.2,49.8
155.7,47.0
156.2,45.4
156.7,48.8
157.2,50.6
157.7,48.9
158.2,53.0
158.7,49.0
159.2,53.4
159.7,48.8
160.2,47.9
160.7,51.2
161.2,50.8
161.7,55.9
162.2,49.4
162.7,56.5
163.2,50.4
163.7,53.3
164.2,51.1
164.7,49.3
165.3,52.7
165.8,58.7
166.3,57.2
166.8,56.6
167.3,54.1
167.8,53.9
168.3,52.0
168.8,53.5
169.3,54.8
169.8,53.4
170.3,57.5
170.8,56.6
171.3,56.7
171.8,59.1
172.3,50.8
172.8,53.5
173.3,56.5
173.8,57.7
174.3,57.9
174.8,54.4
175.4,60.6
175.9,62.5
176.4,55.7
176.9,56.6
177.4,59.7
177.9,61.5
178.4,59.6
178.9,57.8
179.4,59.5
179.9,65.4
180.4,65.2
180.9,58.5
181.4,65.0
181.9,65.5
182.4,55.4
182.9,57.0
183.4,59.4
183.9,63.5
184.4,62.0
184.9,63.8
185.5,62.1
186.0,61.6
186.5,60.8
187.0,65.0
187.5,66.8
188.0,61.1
188.5,56.9
189.0,68.4
189.5,65.5
190.0,60.9
